_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
229,228,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2007,,,,6434,
230,229,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2008,,,,4677,
231,230,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2009,,,,3780,
232,231,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2010,,,,9323,
233,232,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2011,,,,7942,
234,233,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2012,,,,9639,
235,234,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2013,,,,9365,
236,235,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2014,,,,9222,
237,236,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2015,,,,8677,
238,237,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2016,,,,9116,
239,238,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2000,,,,464,
240,239,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2001,,,,788,
241,240,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2002,,,,1064,
242,241,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2003,,,,1586,
243,242,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2004,,,,2363,
244,243,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2005,,,,1362,
245,244,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2006,,,,1509,
246,245,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2007,,,,2832,
247,246,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2008,,,,2220,
248,247,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2009,,,,2415,
249,248,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2010,,,,2610,
250,249,Produksi Daging Ayam Ras Petelur menurut Provinsi_,34,DI Yogyakarta,2011,,,,2275,
